Judge,Office,Total Dispositions,Tot,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"Cusick, Daniel F",SEVEN FIELDS,357,357,247,81,166,51,30
"Hannan, Bonnie",SEVEN FIELDS,372,372,307,130,177,93,37
"Kooser, John",SEVEN FIELDS,328,328,262,180,82,162,18
"Stanley, Wayne",SEVEN FIELDS,346,346,261,158,103,155,3
"Wood, Brian W",SEVEN FIELDS,328,328,254,147,107,120,27
"Abbondondelo, Mary",SHREVEPORT,399,399,349,259,90,222,37
"Antonowicz, John",SHREVEPORT,418,418,359,188,171,162,26
"Bundy, W. Thomas",SHREVEPORT,243,243,206,78,128,69,9
"Lindsay, Charles R.",SHREVEPORT,443,443,379,172,207,151,21
"Wright, Charlotte A",SHREVEPORT,391,391,325,115,210,53,62
"Bossong, Kenneth",SOUTH JERSEY,314,314,249,190,59,177,13
"Cerulli, Nicholas",SOUTH JERSEY,183,183,148,94,54,84,10
"Gabell, Margaret M",SOUTH JERSEY,128,128,99,57,42,42,15
"Mc Afoos III, Louis G",SOUTH JERSEY,323,323,255,231,24,221,10
"Shellhamer, Daniel N",SOUTH JERSEY,273,273,214,156,58,119,37
"Shelton, Karen",SOUTH JERSEY,310,310,240,118,122,88,30
"Spector, Jennifer",SOUTH JERSEY,129,318,104,56,48,41,15
"Toland, Marguerite",SOUTH JERSEY,241,241,178,94,84,85,9
"Watson, Nycole",SOUTH JERSEY,68,68,31,20,11,13,7
"Wesner, Jonathan L",SOUTH JERSEY,16,363,4,4,0,4,0
"Ausems, Moira",SPOKANE,347,347,305,230,75,213,17
"Freund, Lori L",SPOKANE,329,329,274,213,61,204,9
"Kim, Mark",SPOKANE,243,246,203,128,75,114,14
"Palachuk, Marie",SPOKANE,305,305,244,145,99,125,20
"Payne, R. J",SPOKANE,371,371,307,134,173,119,15
"Shumway, Jesse K",SPOKANE,350,350,290,165,125,156,9
"Siderius, Caroline",SPOKANE,245,245,208,136,72,127,9
"Walker, Donna L",SPOKANE,406,406,320,216,104,204,12
"Breton, Michael P",SPRINGFIELD MA,406,406,317,186,131,162,24
"Cooperman, Leonard J",SPRINGFIELD MA,3,3,3,0,3,0,0
"Griswold, Kim K",SPRINGFIELD MA,346,346,276,119,157,96,23
"Holbrook, Todd S",SPRINGFIELD MA,54,54,46,26,20,19,7
"Martinelli, Peter J",SPRINGFIELD MA,116,116,92,61,31,55,6
"Masengill, Addison C",SPRINGFIELD MA,534,534,463,276,187,209,67
"Stolfo, Judith M",SPRINGFIELD MA,413,413,315,199,116,180,19
"Cheffins, Thomas",SPRINGFIELD MO,477,477,366,92,274,70,22
"Clayton, Mark A",SPRINGFIELD MO,263,263,200,58,142,49,9
"Draper, Jo Ann L",SPRINGFIELD MO,6,146,0,0,0,0,0
"Franklin, Perry L",SPRINGFIELD MO,337,337,259,106,153,86,20
"Fromme, David K",SPRINGFIELD MO,124,124,113,28,85,24,4
"Gillet, James F",SPRINGFIELD MO,229,229,180,50,130,42,8
"Horton, Victor L",SPRINGFIELD MO,397,397,299,71,228,69,2
"Leary, Mary J",SPRINGFIELD MO,406,406,312,113,199,96,17
"Lynch, Robert A",SPRINGFIELD MO,206,206,159,69,90,61,8
"Morrison, Patrick H",SPRINGFIELD MO,32,250,14,3,11,3,0
"Anderson, Gwen",ST LOUIS,89,89,52,36,16,34,2
"Auble, Thomas",ST LOUIS,176,176,128,63,65,57,6
"Brown, Mark A",ST LOUIS,37,37,29,24,5,20,4
"Gulick, Scot",ST LOUIS,35,287,32,7,25,6,1
"Hanekamp, Stephen M",ST LOUIS,340,340,272,171,101,144,27
"Harris, Leetra J",ST LOUIS,30,30,21,9,12,8,1
"Heimann, Joseph L",ST LOUIS,306,352,242,122,120,105,17
"LaPolt, Monica",ST LOUIS,1,29,0,0,0,0,0
"Leslie, Lisa",ST LOUIS,284,284,220,99,121,71,28
"Morgan, Aaron M",ST LOUIS,1,4,1,0,1,0,0
"Mueller, Koren",ST LOUIS,180,202,132,30,102,22,8
"Naggi, Mark",ST LOUIS,29,338,24,18,6,17,1
"Plucker, Nathaniel",ST LOUIS,357,357,267,148,119,127,21
"Robison, Robert S",ST LOUIS,139,139,109,73,36,61,12
"Alderisio, James P",ST PETERSBURG FL,331,331,275,149,126,122,27
"Amos, B. T",ST PETERSBURG FL,355,361,292,188,104,170,18
"Colon, Arline",ST PETERSBURG FL,315,315,220,69,151,50,19
"Dent, Joseph F",ST PETERSBURG FL,402,402,293,144,149,118,26
"Eckert, Jr., F. T",ST PETERSBURG FL,356,356,304,228,76,211,17
"Gartner, Richard P",ST PETERSBURG FL,337,337,274,176,98,173,3
"Greene, Laurel J",ST PETERSBURG FL,242,272,188,160,28,151,9
"Hubler, Lloyd",ST PETERSBURG FL,373,373,305,128,177,115,13
"McNamee-Alemany, John D",ST PETERSBURG FL,363,363,287,238,49,233,5
"Miller, Scott T",ST PETERSBURG FL,292,292,232,173,59,168,5
"Smith, Donald G",ST PETERSBURG FL,379,379,296,177,119,154,23
"Sprague, Anne V",ST PETERSBURG FL,179,361,147,87,60,70,17
"Torres, Elving L",ST PETERSBURG FL,356,356,280,100,180,81,19
"Zamboni, Norman R",ST PETERSBURG FL,325,325,259,175,84,164,11
"Alis, E.",STOCKTON,71,262,58,26,32,18,8
"Heely, Daniel G",STOCKTON,353,353,282,160,122,141,19
"Hernandez, Evangelina P",STOCKTON,151,335,116,78,38,64,14
"Hill-Maxion, Sanya",STOCKTON,78,245,64,60,4,55,5
"Kopec, Judith A",STOCKTON,148,148,125,64,61,48,16
"Mantel, Dianne S",STOCKTON,14,239,11,5,6,1,4
"Skarda, Trevor",STOCKTON,478,478,397,227,170,175,52
"Snelling, Timothy S",STOCKTON,288,342,251,124,127,51,73
"Wheatley, G. Ross",STOCKTON,304,304,237,95,142,39,56
"Fein, Bruce S",SYRACUSE,364,364,265,169,96,139,30
"Flanagan, F. P",SYRACUSE,112,112,102,60,42,51,9
"Gale, Robert E",SYRACUSE,160,160,123,61,62,53,8
"Greener, Marie",SYRACUSE,346,346,275,144,131,107,37
"Koennecke, Elizabeth W",SYRACUSE,373,373,265,113,152,93,20
"Lischak, John M",SYRACUSE,355,355,284,245,39,230,15
"Ramos, John P",SYRACUSE,403,403,307,181,126,151,30
"Ryan, Barry E",SYRACUSE,393,393,263,170,93,156,14
"Smith, Jennifer G",SYRACUSE,354,354,274,161,113,137,24
"Blanton, Michael C",TACOMA WA,330,330,288,268,20,253,15
"Dantonio, Joanne E",TACOMA WA,214,214,170,109,61,103,6
"Duncan, Gene",TACOMA WA,307,307,253,202,51,174,28
"Elliott, Gary",TACOMA WA,412,412,370,247,123,222,25
"Gilbert, Michael",TACOMA WA,111,111,76,31,45,29,2
"Grace, S. Andrew",TACOMA WA,8,371,2,2,0,1,1
"Johnson, David",TACOMA WA,404,404,339,170,169,148,22
"Kingsley, Robert P",TACOMA WA,179,179,159,76,83,64,12
"Mauer, Marilyn S.",TACOMA WA,281,283,230,127,103,114,13
"Rosa, Cynthia D",TACOMA WA,195,195,140,68,72,44,24
"Sherry, James W",TACOMA WA,289,289,241,139,102,124,15
"Wilson, Kelly",TACOMA WA,256,256,200,100,100,69,31
"Carnes, Steven L.",TALLAHASSEE FL,343,343,237,141,96,127,14
"Dixon III, Andrew",TALLAHASSEE FL,378,378,298,200,98,167,33
"Heller, Joshua R",TALLAHASSEE FL,226,226,167,100,67,65,35
"Herman, David",TALLAHASSEE FL,241,241,194,117,77,106,11
"Marvel, Jeffrey",TALLAHASSEE FL,313,313,229,130,99,123,7
"McCamley, Janet",TALLAHASSEE FL,395,395,302,174,128,163,11
"Raleigh, Lisa",TALLAHASSEE FL,280,280,213,92,121,66,26
"Arnold, Charles J",TAMPA,405,405,340,242,98,217,25
"Ballieu, Robert",TAMPA,192,192,153,73,80,64,9
"Cartledge, James",TAMPA,1,1,0,0,0,0,0
"Craig, Margaret",TAMPA,234,234,183,107,76,95,12
"Downs, Amber",TAMPA,235,284,178,62,116,42,20
"Ehrman, Kurt G",TAMPA,281,281,230,90,140,81,9
"Greenberg, Rhonda S",TAMPA,53,215,41,19,22,18,1
"Greene, Laurel J",TAMPA,30,272,26,15,11,13,2
"Johnston, Paul L",TAMPA,382,382,318,292,26,279,13
"McGhee, Carl C",TAMPA,290,290,245,159,86,145,14
"Morris, Scott T",TAMPA,147,207,118,61,57,54,7
"Neel, Angela L",TAMPA,447,447,352,128,224,101,27
"Piloseno, Jr., Daniel A",TAMPA,371,371,293,219,74,212,7
"Selland, R. Dirk",TAMPA,350,350,279,113,166,109,4
"Slahta, Steven D",TAMPA,360,360,308,217,91,196,21
"Vallecillo, Gonzalo",TAMPA,19,19,12,5,7,4,1
"Watkins, Glen H.",TAMPA,361,361,269,92,177,69,23
"Weakley, Wallace E",TAMPA,235,235,182,75,107,60,15
"Zanotti, Barbara J",TAMPA,176,270,139,61,78,46,15
"Ashford, Earl",TOLEDO OH,360,360,306,146,160,110,36
"Banks, Terry M",TOLEDO OH,330,330,273,76,197,58,18
"Budney, Amy",TOLEDO OH,273,273,236,108,128,78,30
"Herring, Virginia",TOLEDO OH,96,277,77,32,45,16,16
"Horowitz, Richard",TOLEDO OH,376,376,321,125,196,112,13
"Mantel, Dianne S",TOLEDO OH,225,239,183,65,118,33,32
"Sher, Paul",TOLEDO OH,339,339,285,124,161,104,20
"Vitellio, Gabrielle R",TOLEDO OH,301,301,244,182,62,153,29
"Warner, Melissa",TOLEDO OH,228,228,164,82,82,68,14
"Burbank, Robert J",TOPEKA KS,391,391,321,176,145,140,36
"Burrichter, Michael D",TOPEKA KS,17,317,4,3,1,3,0
"Comisky, Michael",TOPEKA KS,386,386,299,97,202,88,9
"Hale, Cynthia K",TOPEKA KS,336,336,282,155,127,115,40
"Johnson, Scott",TOPEKA KS,16,421,3,1,2,1,0
"Mance, Michael D",TOPEKA KS,321,321,258,108,150,61,47
"Shilling, Michael D",TOPEKA KS,414,414,329,81,248,58,23
"Stueve, Timothy G",TOPEKA KS,301,301,254,71,183,56,15
"Baum, Peter J",TUCSON,380,401,323,192,131,169,23
"Davis, Charles",TUCSON,293,293,247,166,81,144,22
"Elias, Yasmin",TUCSON,362,362,293,187,106,136,51
"Havens, Laura S",TUCSON,348,348,309,168,141,148,20
"Johnson, Larry E",TUCSON,296,296,268,192,76,163,29
"Reyes, George W",TUCSON,364,364,301,220,81,200,20
"Belcher, John W",TULSA,348,348,301,134,167,116,18
"Crutchfield, B. D",TULSA,547,547,451,273,178,265,8
"Engel, David W",TULSA,529,532,452,330,122,246,84
"Hunt, Christopher",TULSA,393,393,321,182,139,168,14
"Kallsnick, Richard J",TULSA,369,369,303,187,116,177,10
"Liter, Luke",TULSA,381,381,309,198,111,164,34
"McClain, Lantz",TULSA,419,419,331,132,199,103,29
"Rose, Deborah L",TULSA,399,399,343,144,199,132,12
"Stewart, James",TULSA,229,229,186,122,64,111,11
"Werre, Edmund C",TULSA,103,103,93,54,39,45,9
"Wolfe, Jeffrey S",TULSA,311,311,248,187,61,175,12
"Barkley III, H.J.",TUPELO,453,453,386,223,163,218,5
"Leiner, Jonathan H",TUPELO,77,304,65,22,43,16,6
"Lott, Roger",TUPELO,379,379,322,195,127,189,6
"Maddox, Gregory A",TUPELO,403,403,351,181,170,135,46
"Sartor, Rebecca B",TUPELO,353,353,312,154,158,138,16
"Kauffman, Howard",VALPARAISO IN,251,251,213,89,124,73,16
"Kramer, Dennis R",VALPARAISO IN,358,358,291,240,51,217,23
"McGovern, Shane",VALPARAISO IN,267,267,223,114,109,93,21
"Sampson, William E",VALPARAISO IN,383,383,302,137,165,111,26
"Scales, Romona",VALPARAISO IN,199,199,146,79,67,62,17
"Silva, Mario G",VALPARAISO IN,412,420,338,210,128,177,33
"Wardell, Laurie",VALPARAISO IN,122,335,108,36,72,30,6
"Whitfield, Gladys",VALPARAISO IN,39,277,33,9,24,5,4
"Applewhite, Francine L",WASHINGTON,245,316,159,43,116,22,21
"Ayer, F. H",WASHINGTON,352,352,270,131,139,103,28
"Banks, Larry",WASHINGTON,134,134,108,67,41,41,26
"Bond, Eugene",WASHINGTON,419,419,299,151,148,140,11
"Emerson, Andrew M",WASHINGTON,299,302,223,113,110,100,13
"Krasnow, Michael A",WASHINGTON,329,329,250,79,171,71,8
"Long, Jennifer M",WASHINGTON,299,299,231,143,88,129,14
"Maley, Susan",WASHINGTON,274,277,199,131,68,126,5
"Ray, Thomas M",WASHINGTON,317,317,248,149,99,131,18
"Andrews, Tom",WEST DES MOINES,390,390,323,207,116,188,19
"Basse, Eric S",WEST DES MOINES,352,352,313,123,190,95,28
"Bruntz, Julie K",WEST DES MOINES,361,361,279,162,117,144,18
"Draper, Jo Ann L",WEST DES MOINES,139,146,108,42,66,38,4
"Hamilton, Henry",WEST DES MOINES,322,322,260,152,108,107,45
"Naggi, Mark",WEST DES MOINES,4,338,3,2,1,1,1
"Nguyen, Thuy-Anh T",WEST DES MOINES,1,249,0,0,0,0,0
"Sandbothe, John E",WEST DES MOINES,352,352,290,190,100,181,9
"Santiago, Melissa M",WEST DES MOINES,11,344,8,2,6,0,2
"Barry, John J",WHITE PLAINS,231,231,164,143,21,105,38
"Cascio, Vincent M",WHITE PLAINS,312,312,237,116,121,96,20
"Edgell, Katherine",WHITE PLAINS,306,306,238,108,130,79,29
"Gonzalez, Robert",WHITE PLAINS,297,297,242,124,118,94,30
"Katz, Dennis G",WHITE PLAINS,284,284,204,104,100,85,19
"Lemoine, Brian W",WHITE PLAINS,299,299,239,161,78,146,15
"McCormack, Kieran",WHITE PLAINS,258,258,205,90,115,52,38
"Rodriguez, Michael A",WHITE PLAINS,55,88,48,27,21,17,10
"Singh, Sharda",WHITE PLAINS,299,299,237,99,138,85,14
"Stacchini, Michael J",WHITE PLAINS,254,254,205,127,78,113,14
"Brookins, Alison K",WICHITA,403,403,293,170,123,153,17
"Dayton, Michael R",WICHITA,390,390,279,121,158,110,11
"Evans, Edward E",WICHITA,375,375,276,115,161,107,8
"Greenberg, Rhonda S",WICHITA,162,215,132,62,70,57,5
"Harty, James",WICHITA,309,309,251,92,159,86,6
"Page, David",WICHITA,145,145,86,62,24,59,3
"Rima, William H",WICHITA,1,1,1,0,1,0,0
"Werner, Melvin B",WICHITA,299,299,242,138,104,113,25
"Balutis, Daniel",WILKES BARRE,68,335,50,13,37,13,0
"Barletta, Frank",WILKES BARRE,387,387,322,167,155,147,20
"Brady, Edward L",WILKES BARRE,443,443,351,210,141,193,17
"Garrety, Paula",WILKES BARRE,113,414,84,37,47,27,10
"Hardiman, Therese A",WILKES BARRE,381,381,311,116,195,107,9
"Langan, Gerard W",WILKES BARRE,415,415,345,182,163,151,31
"Stolls, Michele",WILKES BARRE,348,348,281,178,103,160,18
"Tranguch, Jarrod",WILKES BARRE,385,385,309,149,160,138,11
"Wing, Timothy",WILKES BARRE,383,383,324,171,153,150,21
"Wolfe, Michelle",WILKES BARRE,368,368,287,88,199,69,19
"Zack, Richard",WILKES BARRE,418,418,335,201,134,142,59
